,summary,url
0,Текст не содержит информации для создания summary.,https://www.rustore.ru/help/
1,"Текст представляет собой рекламу различных игр и приложений, включая ""Побег из дурки 2"", ""Где $бор"" и ""Слово Пацана: Война Районов"". В них предлагается покинуть тюрьму, сражаться с зомби и вступить в войну между районами.",https://www.rustore.ru/help/developers/advertising-and-promotion/featuring
2,"Текст представляет собой список приложений: Хоум Банк, 2ГИС, Почта Банк, интернет-магазины и игры.",https://www.rustore.ru/help/developers/advertising-and-promotion/featuring
3,"Текст представляет собой перечень популярных приложений и сервисов, доступных для загрузки и использования, включая видео, музыку, книги, прогноз погоды, игры и другие категории. Возможно использование различных приложений для получения точной информации о погоде, просмотра видео, прослушивания музыки и многое другое.",https://www.rustore.ru/help/developers/advertising-and-promotion/featuring
4,"В тексте описываются различные функции и возможности социальной сети ВКонтакте, такие как прослушивание музыки, просмотр видео, общение в чатах, просмотр коротких видео, общение и звонки в мессенджере, безлимитное общение в звонках, просмотр кино, шоу и сериалов, а также использование почтового сервиса.",https://www.rustore.ru/help/developers/advertising-and-promotion/iframe
5,Текст о минимальном размере логотипа приложения для скачивания из Google Play.,https://www.rustore.ru/help/developers/advertising-and-promotion/rustore-button
6,"Текст описывает различные объекты рекламы, которые можно использовать для продвижения различных продуктов и услуг, таких как сайт, сообщество в социальных сетях, музыка, каталог товаров, лид-формы, видео и трансляции, приложения и мини-приложения. Возможности рекламы разнообразны и могут быть адаптированы под конкретные цели компании.",https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing
7,Текст описывает возможность настройки отслеживаемых событий для мобильных приложений и предоставления доступа к данным другим кабинетам в центре коммерции.,https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing
8,"Текст представляет собой рекламу различных курсов по трейдингу, инвестициям, онлайн-обучению и курсам валют. Рекламируются как курсы от Тинькофф Инвест, так и другие образовательные программы.",https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing
9,"Текст содержит список популярных категорий приложений, такие как Болтики, головоломки, игры и другие. Он также содержит рекламу и стартовый набор для новых пользователей.",https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing
10,"Текст представляет собой перечень популярных категорий приложений в магазине приложений Ви$!ога. В них можно найти приложения для общения, игр, а также различные полезные приложения.",https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing
11,"Текст описывает различные элементы рекламных кампаний, такие как аудитории, бюджет, центр коммерции, сайты, мобильные приложения, лид-формы и настройки. Предлагается создать первую рекламную кампанию, обещая, что это не займет много времени.",https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing
12,"Текст о том, что на платформу ""МК Реклама"" можно войти через единый аккаунт с помощью телефона или почты. Обещается надежная защита данных. При нажатии на кнопку ""Продолжить"" пользователь принимает пользовательское соглашение и политику конфиденциальности.",https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing
13,"Текст предлагает инвестиционные возможности от Тиньков Инвестиции, с акциями и специальными событиями. Также доступны книги со скидкой и интересное содержание в приложении.",https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing
14,"Текст состоит из нескольких аббревиатур и символов, которые можно расшифровать.",https://www.rustore.ru/help/developers/check-apk-signature
15,"Текст содержит закодированные данные и дату: понедельник, 2 июля 2046 года.",https://www.rustore.ru/help/developers/check-apk-signature
16,"В тексте представлена информация о сертификате и его характеристиках, а также указаны дата выпуска и срок действия. Обнаружена ошибка при сравнении информации о сертификате.",https://www.rustore.ru/help/developers/check-apk-signature
17,Проект содержит 10 сервисных токенов.,https://www.rustore.ru/help/developers/check-apk-signature
